id,company,assets,equity,fee,ni,ic
1,三商電腦股份有限公司(2427),4276492,2155356,840346,115565,3354042
2,精誠資訊股份有限公司(6214),19979463,13194951,4346489,1051418,19515989
3,同亨科技股份有限公司(5490),1767847,1436533,494709,28676,1776817
4,飛捷科技股份有限公司(6206),5806721,4683783,1019954,801448,6569769
5,振樺電子股份有限公司(8114),14115940,3126975,2478534,749881,9825616
6,研華股份有限公司(2395),43937072,29540586,11196049,6294657,48726518
7,友通資訊股份有限公司(2397),4722147,3216789,759144,605337,5211122
8,安勤科技股份有限公司(3479),3429555,2321041,879171,244100,5020647
9,樺漢科技股份有限公司(6414),74924876,25775703,12323759,1108117,68962459
10,智冠科技股份有限公司(5478),12395693,6749722,2515524,461322,5552667
11,群益期貨股份有限公司(6024),40386018,5061272,1114806,835205,3241609
12,群益金鼎證券股份有限公司(6005),117389907,35204736,4522273,1408865,8792007
13,遊戲橘子數位科技股份有限公司(6180),9823412,5158730,2851553,1759973,14334948
14,伍豐科技股份有限公司(8076),6938839,4194822,735785,275265,3868599
15,網路家庭國際資訊股份有限公司(8044),11160909,3423544,6025301,-994643,34594364
16,茂為歐買尬數位科技股份有限公司(3687),3175594,1230745,358010,-98948,772187
17,華南金融控股股份有限公司(2880),2684206863,174157583,25774540,14621319,68881437
18,富邦金融控股股份有限公司(2881),7715059808,468825976,58432269,47728856,532955303
19,國泰金融控股股份有限公司(2882),9224483506,529288995,79606248,51467243,603985223
20,中華開發金融控股股份有限公司(2883),2717814828,223562906,25166272,7852688,286461157
21,玉山金融控股股份有限公司(2884),2287787032,160130100,25839405,17068493,73068211
22,元大金融控股股份有限公司(2885),2287133925,236843760,39611658,18679208,126222243
23,兆豐金融控股股份有限公司(2886),3542059361,314255429,28601925,28109164,91724031
24,台新金融控股股份有限公司(2887),1786893517,174517953,22171401,12930583,56668700
25,新光金融控股股份有限公司(2888),3648467252,144615720,25697374,9753791,475416385
26,國票金融控股股份有限公司(2889),277985923,36120766,2944802,2021559,6877100
27,永豐金融控股股份有限公司(2890),1604926117,141821397,19353480,9428419,45790661
28,中國信託金融控股股份有限公司(2891),5753247546,315148481,61719970,36032425,469487609
29,第一金融控股股份有限公司(2892),2935204419,205303072,22906433,17332199,84626420
30,日盛金融控股股份有限公司(5820),318971258,44232350,6003400,2509770,10218692
31,合作金庫金融控股股份有限公司(5880),3508287588,212474009,25114427,15618243,69846336
